Call_ID,Caller_Number,Receiver_Number,Call_Date,Call_Time,Call_Duration,Call_Type,Call_Cost,Tower_Location,Network_Type
CDR000001,+918082362094,+919526621402,2025-05-14,03:06:00,495,ISD,12.56,Delhi-West,5G
CDR000002,+918926270111,+918691561610,2025-05-13,21:06:09,283,STD,10.52,Bangalore,5G
CDR000003,+918174275878,+917243546790,2025-04-08,13:56:50,1420,Local,16.38,Kolkata-South,5G
CDR000004,+919605234153,+917916225268,2025-06-18,18:42:16,1701,Local,24.77,Bangalore,4G
CDR000005,+919321750402,+917093191773,2025-04-15,11:33:27,3121,ISD,78.11,Mumbai-East,5G
CDR000006,+917549503354,+918371674944,2025-05-16,20:14:54,2813,Roaming,139.27,Mumbai-East,4G
CDR000007,+919161158234,+919531602280,2025-06-10,14:15:32,2564,STD,62.63,Bangalore,5G
CDR000008,+919523672285,+919729949956,2025-05-12,22:02:37,1685,Local,58.21,Mumbai-East,5G
CDR000009,+918763122845,+919312010716,2025-04-13,05:52:55,1443,ISD,36.16,Mumbai-East,4G
CDR000010,+919032739011,+918796172041,2025-05-19,03:54:04,1105,Local,21.47,Pune,4G
CDR000011,+917333574967,+917477935381,2025-04-07,01:46:54,3500,ISD,169.52,Pune,5G
CDR000012,+918329376767,+918455876828,2025-04-13,15:32:13,2080,ISD,96.11,Hyderabad,5G
CDR000013,+919223705979,+917261728964,2025-06-14,05:57:01,3403,Roaming,106.06,Kolkata-South,5G
CDR000014,+918098454658,+918290097644,2025-05-03,10:14:12,619,Roaming,20.49,Kolkata-South,4G
CDR000015,+917450799866,+919320333121,2025-05-20,21:26:56,449,Local,5.88,Pune,VoLTE
CDR000016,+917891160527,+919899701067,2025-04-07,02:24:54,2144,Roaming,36.87,Delhi-West,VoLTE
CDR000017,+919760588842,+918272743642,2025-04-17,09:53:22,2657,Local,109.42,Delhi-West,VoLTE
CDR000018,+919688230256,+918079875499,2025-05-12,15:50:43,2785,STD,44.47,Delhi-West,5G
CDR000019,+917828210369,+918718556013,2025-06-26,04:05:19,490,STD,21.35,Chennai-North,4G
CDR000020,+918759088645,+917633299344,2025-04-03,04:08:25,1559,Local,40.46,Hyderabad,4G
CDR000021,+917271772844,+918273221121,2025-06-19,09:13:31,2453,STD,42.81,Pune,4G
CDR000022,+919933488348,+918121798563,2025-05-11,17:38:35,855,Roaming,29.26,Hyderabad,5G
CDR000023,+918306667340,+918781892966,2025-04-15,21:44:25,1299,Roaming,35.0,Mumbai-East,5G
CDR000024,+917779834931,+919757909573,2025-04-01,11:55:12,1280,Roaming,24.35,Mumbai-East,5G
CDR000025,+918244254131,+918048919832,2025-06-20,08:24:28,2109,Roaming,82.65,Bangalore,VoLTE
CDR000026,+917440079430,+917503921153,2025-05-06,03:20:05,2858,Roaming,64.63,Pune,VoLTE
CDR000027,+917556558244,+919193048870,2025-06-23,00:03:03,1705,Local,28.47,Bangalore,VoLTE
CDR000028,+918854551572,+918710642782,2025-06-10,12:25:33,1480,ISD,57.21,Kolkata-South,5G
CDR000029,+919010034717,+917709516481,2025-06-15,05:54:00,2553,STD,112.2,Chennai-North,5G
CDR000030,+917861222435,+917880562550,2025-04-04,23:24:14,493,Roaming,19.94,Mumbai-East,4G
CDR000031,+918840837304,+919571382245,2025-06-17,18:21:15,2639,Roaming,62.66,Delhi-West,VoLTE
CDR000032,+917433536472,+918458857656,2025-05-21,05:18:58,1094,STD,38.4,Hyderabad,5G
