Customer_ID,Customer_Name,Phone_Number,Gender,Age,City,State,Plan_Type,Network_Type,Avg_Monthly_Usage_Min,Avg_Data_Usage_GB,Monthly_Bill_Amount,Telecom_Company
CUST00001,Amira Sawhney,+919322496327,Male,34,Vadodara,Gujarat,Prepaid,4G,350.9,2.53,1160.56,IndiTel Communications
CUST00002,Alia Chad,+917787307631,Male,27,Durgapur,West Bengal,Prepaid,5G,184.8,26.28,828.93,IndiTel Communications
CUST00003,Keya Chaudhari,+919906172595,Male,56,Noida,Uttar Pradesh,Prepaid,5G,897.4,20.01,292.63,IndiTel Communications
CUST00004,Sara Samra,+919241508259,Female,64,Ahmedabad,Gujarat,Postpaid,5G,690.0,36.07,1963.17,IndiTel Communications
CUST00005,Hansh Deo,+919781505458,Male,63,Mumbai,Maharashtra,Postpaid,VoLTE,673.6,38.47,1992.05,IndiTel Communications
CUST00006,Tanya Hora,+918137144496,Female,51,Nagpur,Maharashtra,Prepaid,4G,172.0,48.1,2049.0,IndiTel Communications
CUST00007,Parinaaz Ganguly,+918559303612,Male,52,Mysore,Karnataka,Prepaid,4G,800.1,26.48,1498.36,IndiTel Communications
CUST00008,Jayesh Arora,+918992710083,Male,30,Hyderabad,Telangana,Postpaid,4G,435.9,12.49,303.43,IndiTel Communications
CUST00009,Shlok Dey,+918965403606,Male,32,Lucknow,Uttar Pradesh,Postpaid,5G,718.6,10.27,2205.52,IndiTel Communications
CUST00010,Krish Saraf,+917305809088,Male,58,Coimbatore,Tamil Nadu,Prepaid,5G,323.9,8.94,244.17,IndiTel Communications
CUST00011,Fateh Khanna,+919248384396,Male,41,Mumbai,Maharashtra,Postpaid,VoLTE,691.0,28.1,416.03,IndiTel Communications
CUST00012,Anaya Kota,+919824537328,Female,52,Kolkata,West Bengal,Postpaid,4G,979.5,17.64,1268.67,IndiTel Communications
CUST00013,Anvi Sarkar,+919501277145,Female,32,Noida,Uttar Pradesh,Postpaid,5G,415.3,28.48,1608.77,IndiTel Communications
CUST00014,Manikya Gaba,+917595884573,Female,60,Lucknow,Uttar Pradesh,Postpaid,VoLTE,803.7,1.69,1925.81,IndiTel Communications
CUST00015,Abram Hari,+917201100579,Male,35,Mangalore,Karnataka,Postpaid,5G,130.1,33.8,1535.24,IndiTel Communications
CUST00016,Jhanvi Badami,+919649205326,Female,55,Coimbatore,Tamil Nadu,Prepaid,5G,984.6,30.76,575.45,IndiTel Communications
CUST00017,Suhana Bose,+917231552163,Male,29,Howrah,West Bengal,Prepaid,5G,713.0,14.94,397.27,IndiTel Communications
CUST00018,Samiha Chaudhari,+919935684633,Male,35,Surat,Gujarat,Postpaid,VoLTE,686.6,28.05,2389.99,IndiTel Communications
CUST00019,Abram Raval,+919885152047,Male,43,Warangal,Telangana,Postpaid,4G,672.6,24.85,364.88,IndiTel Communications
CUST00020,Dhanuk Barad,+918006120563,Female,50,Durgapur,West Bengal,Prepaid,4G,604.0,22.93,867.19,IndiTel Communications
CUST00021,Diya Kade,+918535555120,Male,56,Lucknow,Uttar Pradesh,Prepaid,4G,668.8,25.09,999.85,IndiTel Communications
CUST00022,Samiha Kari,+917104870167,Male,43,Mumbai,Maharashtra,Prepaid,VoLTE,782.7,7.43,2008.79,IndiTel Communications
CUST00023,Zain Bhatti,+919024774127,Male,40,New Delhi,Delhi,Prepaid,VoLTE,964.2,29.35,2009.98,IndiTel Communications
CUST00024,Raghav Thaman,+919583009684,Male,59,Vadodara,Gujarat,Prepaid,5G,285.4,23.85,1072.38,IndiTel Communications
CUST00025,Anahita Ravi,+917419124109,Male,33,Nagpur,Maharashtra,Prepaid,4G,718.7,39.97,576.61,IndiTel Communications
CUST00026,Jiya Shah,+917866251620,Female,45,Nagpur,Maharashtra,Postpaid,4G,226.1,48.77,1081.75,IndiTel Communications
CUST00027,Eva Trivedi,+918596070230,Male,49,Warangal,Telangana,Postpaid,5G,795.4,33.74,2426.71,IndiTel Communications
CUST00028,Yuvaan Dani,+917410833281,Male,51,Pune,Maharashtra,Prepaid,5G,235.7,32.81,1014.57,IndiTel Communications
CUST00029,Lavanya Wable,+918166342759,Female,64,Nagpur,Maharashtra,Prepaid,VoLTE,810.9,42.89,482.63,IndiTel Communications
CUST00030,Nirvaan Vasa,+919127253387,Male,46,Noida,Uttar Pradesh,Postpaid,VoLTE,300.1,24.4,2307.63,IndiTel Communications
CUST00031,Dhanuk Bhardwaj,+917120485650,Male,20,Surat,Gujarat,Postpaid,VoLTE,457.2,43.05,558.15,IndiTel Communications
CUST00032,Vihaan Saini,+918582548571,Female,32,Mumbai,Maharashtra,Postpaid,VoLTE,124.7,2.89,1612.62,IndiTel Communications
CUST00033,Azad Shenoy,+918335654489,Female,31,Warangal,Telangana,Postpaid,4G,633.9,39.53,723.65,IndiTel Communications
CUST00034,Hiran Wadhwa,+919333411732,Female,51,Warangal,Telangana,Postpaid,4G,383.7,47.61,1163.88,IndiTel Communications
CUST00035,Hansh Sane,+919126696429,Male,27,Mysore,Karnataka,Prepaid,VoLTE,156.2,48.24,1436.72,IndiTel Communications
CUST00036,Rania Gade,+917302495551,Male,49,Hyderabad,Telangana,Prepaid,5G,690.7,9.55,2023.04,IndiTel Communications
CUST00037,Samiha Sura,+919430357073,Male,53,Vadodara,Gujarat,Postpaid,5G,406.2,2.23,1898.25,IndiTel Communications
CUST00038,Madhup Subramanian,+917990287396,Female,19,Rohini,Delhi,Prepaid,VoLTE,642.5,17.84,895.15,IndiTel Communications
CUST00039,Anvi Ram,+917489517418,Male,44,Surat,Gujarat,Prepaid,VoLTE,931.9,29.79,2373.08,IndiTel Communications
CUST00040,Seher Sama,+919736622440,Female,60,Kolkata,West Bengal,Prepaid,5G,944.8,33.87,608.54,IndiTel Communications
CUST00041,Tushar Bal,+917097123173,Male,25,Coimbatore,Tamil Nadu,Prepaid,5G,719.7,33.89,180.87,IndiTel Communications
